Sample_ID,pH,OC,Conductivity,N,Ba,Cd,Co,Cu,Cr,K,Mn,Na,Ni,P,Pb
A003,5.44,4.38,44.55,0.4,354.95,3.36,10.38,19.99,28.56,6095.63,373.66,9604.06,14.87,985.51,5.37
A006,5.44,4.38,44.55,0.4,354.95,3.36,10.38,19.99,28.56,6095.63,373.66,9604.06,14.87,985.51,5.37
A010,5.44,4.38,44.55,0.4,354.95,3.36,10.38,19.99,28.56,6095.63,373.66,9604.06,14.87,985.51,5.37
A011,5.84,5.46,54.75,0.9,136.48,1.36,3.04,11.6,14.27,3302.58,179.39,3637.74,8.03,790.15,2.01
A013,5.84,5.46,54.75,0.9,136.48,1.36,3.04,11.6,14.27,3302.58,179.39,3637.74,8.03,790.15,2.01
A019,5.84,5.46,54.75,0.9,136.48,1.36,3.04,11.6,14.27,3302.58,179.39,3637.74,8.03,790.15,2.01
A022,5.71,5.17,48.2,0.66,221.8,1.56,2.93,9.74,11.98,5622.53,373.88,4080.25,7.31,843.39,2.25
A027,5.71,5.17,48.2,0.66,221.8,1.56,2.93,9.74,11.98,5622.53,373.88,4080.25,7.31,843.39,2.25
C056,6.45,1.97,23.44,0.23,444.52,5.08,17.11,20.77,53.52,7506.35,491.89,15314.36,20.47,1396.73,3.34
C052,6.45,1.97,23.44,0.23,444.52,5.08,17.11,20.77,53.52,7506.35,491.89,15314.36,20.47,1396.73,3.34
B015,6.17,5.55,45.4,0.88,260.76,2.24,8.38,9.52,13.38,5799.64,159.66,12827.39,8.28,1580.3,5.45
B017,6.17,5.55,45.4,0.88,260.76,2.24,8.38,9.52,13.38,5799.64,159.66,12827.39,8.28,1580.3,5.45
B008,6.17,5.55,45.4,0.88,260.76,2.24,8.38,9.52,13.38,5799.64,159.66,12827.39,8.28,1580.3,5.45
B021,5.63,5.55,37.6,0.49,436.46,3.7,13.85,24.53,34.44,8973.84,382.75,18650.45,14.63,1881.24,11.11
C067,5.96,2.85,14.82,0.37,325.47,3.23,10.79,9.59,24.97,7124.26,338.6,14106.62,9.96,1242.55,4.62
H008,5.71,4.8,76.74,0.45,227.11,2.08,8.02,13.81,24.19,2804.75,193.26,6351.74,13.83,1238.33,3.17
P045,6.06,0.54,24.77,0.08,267.14,2.21,6.68,14.97,26.06,3988.97,193.48,16201,8.71,741.09,14.74
P050,6.06,0.54,24.77,0.08,267.14,2.21,6.68,14.97,26.06,3988.97,193.48,16201,8.71,741.09,14.74
T006,6.22,1.31,42.55,0.17,288.19,2.44,9.29,14.17,42.4,4544.3,265.84,10987.62,12.94,1106.57,17.11
T015,5.91,3.5,40.81,0.37,283.25,2.7,8.59,14.65,23.83,5065.68,395.62,11464.3,6.39,1472.41,13.96
C055,5.73,1.97,17.08,0.27,315.63,4.52,15.54,14.98,28.89,6403.83,405.93,14130.84,12.13,1353.34,3.43
CA008,5.57,3.77,44.95,0.33,292.68,3.13,8.68,11.24,25.74,3745,283.92,9755.47,5.25,1164.12,11.14
CA011,5.72,3.83,9.66,0.25,369.56,2.91,9.63,8.79,18.45,4837.65,242.25,13597.9,6.28,1066.24,5.28
CA020,5.72,3.83,9.66,0.25,369.56,2.91,9.63,8.79,18.45,4837.65,242.25,13597.9,6.28,1066.24,5.28
CA025,5.87,3.09,12.91,0.19,413.79,3.06,10.1,9.11,21.14,4700.58,215.58,12382.82,8.51,1121.82,3.69
I047,5.87,4.63,72.1,0.39,289.34,3.85,11.66,16.72,28.65,5026.96,380.47,15094.75,10.61,1202,2.9
I063,5.87,4.63,72.1,0.39,289.34,3.85,11.66,16.72,28.65,5026.96,380.47,15094.75,10.61,1202,2.9
I065,4.98,5.29,68.4,0.79,176.23,1.45,4.28,11.22,13.72,3394.44,519.92,7065.68,5.64,1189.64,8.32
P052,5.78,4.89,17.79,0.38,333.98,3.11,9.9,15.59,18.28,5556.83,298.79,11857.43,9.37,1415,2.88
P066,5.91,2.86,10.68,0.28,243.95,2.98,8.92,13.43,21.05,4129.1,229.93,10500.4,10.05,942.55,1.71
L008,4.75,4,36.35,0.34,70.46,5.86,11.82,17.4,26.57,1001.65,123.3,1377.18,8.4,407.38,6.54
L011,4.56,4,35.15,0.67,61.38,0.75,2.53,4.94,15.97,2476.2,47.3,1292.38,7.55,524.25,1.42
L017,4.56,4,35.15,0.67,61.38,0.75,2.53,4.94,15.97,2476.2,47.3,1292.38,7.55,524.25,1.42
L022,4.23,4.75,96.5,1.35,59.06,0.81,3.05,8.05,10.82,183.89,33.32,1263.45,8.01,863.45,1.99
U006,4.99,2.91,27.99,0.29,66.55,5.74,11.98,28.63,35.33,616.19,126.68,1791.16,12.08,438.35,7.22
U012,4.87,3.9,54,0.47,81.69,5.9,13.16,32.61,36.58,636.71,138.63,1904.84,15.18,635.26,7.38
U019,4.87,3.9,54,0.47,81.69,5.9,13.16,32.61,36.58,636.71,138.63,1904.84,15.18,635.26,7.38
U020,4.87,3.9,54,0.47,81.69,5.9,13.16,32.61,36.58,636.71,138.63,1904.84,15.18,635.26,7.38
U026,4.88,3.02,35.65,0.37,173,5.67,9.44,31.21,36.79,3068.55,115.11,2023.27,10.55,590.57,8.25
